foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
cholesterol__total	9	88	841	13239	1.69	1.27e-01	Fisher-Exact		
systemic_lupus_erythematosus	15	90	841	13239	2.98	1.40e-04	Chi-squared		
###H3K4me3_Brain_Hippocampus_Middle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	597	13239	8.89	7.22e-04	Fisher-Exact		
ldl_cholesterol	9	103	597	13239	2.04	5.12e-02	Fisher-Exact		
crohns_disease	9	192	597	13239	1.04	8.60e-01	Fisher-Exact		
hdl_cholesterol	8	133	597	13239	1.36	3.96e-01	Fisher-Exact		
inflammatory_bowel_disease	12	118	597	13239	2.43	5.90e-03	Chi-squared		
platelet_counts	10	76	597	13239	3.25	2.10e-03	Fisher-Exact		
multiple_sclerosis	10	162	597	13239	1.40	3.36e-01	Fisher-Exact		
ulcerative_colitis	6	115	597	13239	1.17	6.50e-01	Fisher-Exact		
breast_cancer	11	142	597	13239	1.79	9.58e-02	Chi-squared		
metabolite_levels	7	98	597	13239	1.64	2.14e-01	Fisher-Exact		
c-reactive_protein	3	46	597	13239	1.48	4.63e-01	Fisher-Exact		
type_1_diabetes	4	77	597	13239	1.16	7.79e-01	Fisher-Exact		
celiac_disease	3	58	597	13239	1.16	7.46e-01	Fisher-Exact		
rheumatoid_arthritis	8	81	597	13239	2.34	2.93e-02	Fisher-Exact		
cholesterol__total	8	88	597	13239	2.13	6.17e-02	Fisher-Exact		
systemic_lupus_erythematosus	7	90	597	13239	1.80	1.27e-01	Fisher-Exact		
###H3K4me3_Treg_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	828	13239	6.28	3.11e-03	Fisher-Exact		
ldl_cholesterol	7	103	828	13239	1.09	8.37e-01	Fisher-Exact		
crohns_disease	25	192	828	13239	2.28	1.77e-04	Chi-squared		
hdl_cholesterol	8	133	828	13239	0.96	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	31	118	828	13239	5.51	1.05e-18	Chi-squared		
platelet_counts	16	76	828	13239	4.06	3.30e-07	Chi-squared		
multiple_sclerosis	30	162	828	13239	3.50	2.56e-10	Chi-squared		
ulcerative_colitis	16	115	828	13239	2.45	1.31e-03	Chi-squared		
breast_cancer	16	142	828	13239	1.92	2.11e-02	Chi-squared		
metabolite_levels	7	98	828	13239	1.15	6.73e-01	Fisher-Exact		
c-reactive_protein	2	46	828	13239	0.68	1.00e+00	Fisher-Exact		
type_1_diabetes	17	77	828	13239	4.31	3.48e-08	Chi-squared		
celiac_disease	12	58	828	13239	3.95	1.88e-05	Chi-squared		
rheumatoid_arthritis	19	81	828	13239	4.68	6.27e-10	Chi-squared		
cholesterol__total	10	88	828	13239	1.93	7.07e-02	Fisher-Exact		
systemic_lupus_erythematosus	17	90	828	13239	3.54	2.05e-06	Chi-squared		
###H3K4me3_CD19_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	17	367	13239	7.57	1.08e-02	Fisher-Exact		
ldl_cholesterol	2	103	367	13239	0.69	1.00e+00	Fisher-Exact		
crohns_disease	11	192	367	13239	2.17	2.19e-02	Chi-squared		
hdl_cholesterol	2	133	367	13239	0.53	5.91e-01	Fisher-Exact		
inflammatory_bowel_disease	15	118	367	13239	5.28	2.54e-10	Chi-squared		
platelet_counts	7	76	367	13239	3.61	5.04e-03	Fisher-Exact		
multiple_sclerosis	12	162	367	13239	2.87	7.38e-04	Chi-squared		
ulcerative_colitis	4	115	367	13239	1.27	5.63e-01	Fisher-Exact		
breast_cancer	4	142	367	13239	1.02	8.00e-01	Fisher-Exact		
metabolite_levels	4	98	367	13239	1.50	3.51e-01	Fisher-Exact		
c-reactive_protein	2	46	367	13239	1.60	3.66e-01	Fisher-Exact		
type_1_diabetes	4	77	367	13239	1.93	1.65e-01	Fisher-Exact		
celiac_disease	5	58	367	13239	3.34	2.20e-02	Fisher-Exact		
rheumatoid_arthritis	8	81	367	13239	3.91	1.78e-03	Fisher-Exact		
cholesterol__total	2	88	367	13239	0.81	1.00e+00	Fisher-Exact		
systemic_lupus_erythematosus	9	90	367	13239	3.97	8.56e-04	Fisher-Exact		
###H3K4me3_Adipose_Nuclei	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	1013	13239	6.62	1.17e-03	Fisher-Exact		
ldl_cholesterol	8	103	1013	13239	1.02	8.54e-01	Fisher-Exact		
crohns_disease	22	192	1013	13239	1.57	6.26e-02	Chi-squared		
hdl_cholesterol	16	133	1013	13239	1.66	8.09e-02	Chi-squared		
inflammatory_bowel_disease	26	118	1013	13239	3.47	1.01e-08	Chi-squared		
platelet_counts	18	76	1013	13239	3.80	4.26e-07	Chi-squared		
multiple_sclerosis	27	162	1013	13239	2.45	2.74e-05	Chi-squared		
ulcerative_colitis	15	115	1013	13239	1.82	4.46e-02	Chi-squared		
breast_cancer	21	142	1013	13239	2.12	2.23e-03	Chi-squared		
metabolite_levels	8	98	1013	13239	1.07	8.48e-01	Fisher-Exact		
c-reactive_protein	5	46	1013	13239	1.47	3.97e-01	Fisher-Exact		
type_1_diabetes	6	77	1013	13239	1.02	8.32e-01	Fisher-Exact		
celiac_disease	6	58	1013	13239	1.39	4.51e-01	Fisher-Exact		
rheumatoid_arthritis	11	81	1013	13239	1.91	7.13e-02	Chi-squared		
cholesterol__total	6	88	1013	13239	0.88	1.00e+00	Fisher-Exact		
systemic_lupus_erythematosus	14	90	1013	13239	2.24	8.50e-03	Chi-squared		
###H3K4me3_Adult_Liver	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	750	13239	6.98	2.01e-03	Fisher-Exact		
ldl_cholesterol	20	103	750	13239	4.10	5.00e-09	Chi-squared		
crohns_disease	11	192	750	13239	1.01	9.06e-01	Chi-squared		
hdl_cholesterol	22	133	750	13239	3.37	1.40e-07	Chi-squared		
inflammatory_bowel_disease	13	118	750	13239	2.08	2.00e-02	Chi-squared		
platelet_counts	12	76	750	13239	3.16	3.43e-04	Chi-squared		
multiple_sclerosis	13	162	750	13239	1.46	2.56e-01	Chi-squared		
ulcerative_colitis	7	115	750	13239	1.08	8.38e-01	Fisher-Exact		
breast_cancer	8	142	750	13239	0.99	1.00e+00	Fisher-Exact		
metabolite_levels	15	98	750	13239	3.05	8.69e-05	Chi-squared		
c-reactive_protein	13	46	750	13239	6.66	2.59e-10	Chi-squared		
type_1_diabetes	3	77	750	13239	0.67	8.02e-01	Fisher-Exact		
celiac_disease	5	58	750	13239	1.57	3.82e-01	Fisher-Exact		
rheumatoid_arthritis	6	81	750	13239	1.33	4.65e-01	Fisher-Exact		
cholesterol__total	19	88	750	13239	4.68	4.03e-10	Chi-squared		
systemic_lupus_erythematosus	9	90	750	13239	1.86	1.01e-01	Fisher-Exact		
###H3K4me3_Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	813	13239	8.39	3.63e-04	Fisher-Exact		
ldl_cholesterol	16	103	813	13239	2.85	1.57e-04	Chi-squared		
crohns_disease	15	192	813	13239	1.30	4.12e-01	Chi-squared		
hdl_cholesterol	12	133	813	13239	1.52	2.26e-01	Chi-squared		
inflammatory_bowel_disease	12	118	813	13239	1.74	1.01e-01	Chi-squared		
platelet_counts	10	76	813	13239	2.33	2.54e-02	Fisher-Exact		
multiple_sclerosis	16	162	813	13239	1.69	6.75e-02	Chi-squared		
ulcerative_colitis	9	115	813	13239	1.30	4.32e-01	Fisher-Exact		
breast_cancer	15	142	813	13239	1.82	4.22e-02	Chi-squared		
metabolite_levels	9	98	813	13239	1.55	2.02e-01	Fisher-Exact		
c-reactive_protein	2	46	813	13239	0.69	1.00e+00	Fisher-Exact		
type_1_diabetes	2	77	813	13239	0.41	3.33e-01	Fisher-Exact		
celiac_disease	4	58	813	13239	1.13	7.81e-01	Fisher-Exact		
rheumatoid_arthritis	6	81	813	13239	1.22	6.38e-01	Fisher-Exact		
cholesterol__total	10	88	813	13239	1.97	6.82e-02	Fisher-Exact		
systemic_lupus_erythematosus	10	90	813	13239	1.92	7.15e-02	Fisher-Exact		
###H3K4me3_Pancreatic_Islets	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	423	13239	12.76	1.46e-04	Fisher-Exact		
ldl_cholesterol	8	103	423	13239	2.58	1.73e-02	Fisher-Exact		
crohns_disease	9	192	423	13239	1.50	2.15e-01	Fisher-Exact		
hdl_cholesterol	8	133	423	13239	1.96	7.63e-02	Fisher-Exact		
inflammatory_bowel_disease	7	118	423	13239	1.93	1.05e-01	Fisher-Exact		
platelet_counts	6	76	423	13239	2.62	3.44e-02	Fisher-Exact		
multiple_sclerosis	7	162	423	13239	1.37	3.66e-01	Fisher-Exact		
ulcerative_colitis	2	115	423	13239	0.53	5.90e-01	Fisher-Exact		
breast_cancer	8	142	423	13239	1.82	1.41e-01	Fisher-Exact		
metabolite_levels	7	98	423	13239	2.35	3.73e-02	Fisher-Exact		
c-reactive_protein	3	46	423	13239	2.12	1.81e-01	Fisher-Exact		
type_1_diabetes	3	77	423	13239	1.23	7.38e-01	Fisher-Exact		
celiac_disease	2	58	423	13239	1.08	7.09e-01	Fisher-Exact		
rheumatoid_arthritis	6	81	423	13239	2.44	4.48e-02	Fisher-Exact		
cholesterol__total	7	88	423	13239	2.65	2.24e-02	Fisher-Exact		
systemic_lupus_erythematosus	6	90	423	13239	2.18	6.80e-02	Fisher-Exact		
###H3K4me3_Skeletal_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	917	13239	5.62	4.84e-03	Fisher-Exact		
ldl_cholesterol	9	103	917	13239	1.29	4.34e-01	Fisher-Exact		
crohns_disease	14	192	917	13239	1.06	9.54e-01	Chi-squared		
hdl_cholesterol	18	133	917	13239	2.13	4.45e-03	Chi-squared		
inflammatory_bowel_disease	18	118	917	13239	2.45	6.82e-04	Chi-squared		
platelet_counts	12	76	917	13239	2.54	4.72e-03	Chi-squared		
multiple_sclerosis	19	162	917	13239	1.80	2.34e-02	Chi-squared		
ulcerative_colitis	10	115	917	13239	1.28	4.57e-01	Fisher-Exact		
breast_cancer	15	142	917	13239	1.60	1.21e-01	Chi-squared		
metabolite_levels	8	98	917	13239	1.20	5.51e-01	Fisher-Exact		
c-reactive_protein	3	46	917	13239	0.94	1.00e+00	Fisher-Exact		
type_1_diabetes	8	77	917	13239	1.56	2.53e-01	Fisher-Exact		
celiac_disease	6	58	917	13239	1.55	2.94e-01	Fisher-Exact		
rheumatoid_arthritis	10	81	917	13239	1.90	7.32e-02	Fisher-Exact		
cholesterol__total	8	88	917	13239	1.35	3.97e-01	Fisher-Exact		
systemic_lupus_erythematosus	12	90	917	13239	2.08	2.83e-02	Chi-squared		
###H3K4me3_CD8_Naive_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	518	13239	10.32	3.76e-04	Fisher-Exact		
ldl_cholesterol	5	103	518	13239	1.26	6.04e-01	Fisher-Exact		
crohns_disease	15	192	518	13239	2.11	8.80e-03	Chi-squared		
hdl_cholesterol	5	133	518	13239	0.96	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	18	118	518	13239	4.54	8.05e-10	Chi-squared		
platelet_counts	9	76	518	13239	3.34	2.77e-03	Fisher-Exact		
multiple_sclerosis	21	162	518	13239	3.77	7.76e-09	Chi-squared		
ulcerative_colitis	9	115	518	13239	2.10	4.63e-02	Fisher-Exact		
breast_cancer	11	142	518	13239	2.09	3.15e-02	Chi-squared		
metabolite_levels	5	98	518	13239	1.32	4.37e-01	Fisher-Exact		
c-reactive_protein	2	46	518	13239	1.12	7.01e-01	Fisher-Exact		
type_1_diabetes	10	77	518	13239	3.72	8.02e-04	Fisher-Exact		
celiac_disease	10	58	518	13239	5.20	7.41e-05	Fisher-Exact		
rheumatoid_arthritis	8	81	518	13239	2.72	1.37e-02	Fisher-Exact		
cholesterol__total	7	88	518	13239	2.14	8.61e-02	Fisher-Exact		
systemic_lupus_erythematosus	8	90	518	13239	2.42	2.44e-02	Fisher-Exact		
###H3K4me3_Adult_Kidney	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	760	13239	9.02	2.51e-04	Fisher-Exact		
ldl_cholesterol	8	103	760	13239	1.39	3.89e-01	Fisher-Exact		
crohns_disease	14	192	760	13239	1.30	4.39e-01	Chi-squared		
hdl_cholesterol	8	133	760	13239	1.05	8.51e-01	Fisher-Exact		
inflammatory_bowel_disease	15	118	760	13239	2.42	2.13e-03	Chi-squared		
platelet_counts	9	76	760	13239	2.22	4.05e-02	Fisher-Exact		
multiple_sclerosis	15	162	760	13239	1.69	7.72e-02	Chi-squared		
ulcerative_colitis	9	115	760	13239	1.40	3.12e-01	Fisher-Exact		
breast_cancer	14	142	760	13239	1.81	5.24e-02	Chi-squared		
metabolite_levels	9	98	760	13239	1.67	1.84e-01	Fisher-Exact		
c-reactive_protein	5	46	760	13239	2.01	1.88e-01	Fisher-Exact		
type_1_diabetes	3	77	760	13239	0.66	6.28e-01	Fisher-Exact		
celiac_disease	4	58	760	13239	1.22	5.75e-01	Fisher-Exact		
rheumatoid_arthritis	10	81	760	13239	2.33	2.54e-02	Fisher-Exact		
cholesterol__total	8	88	760	13239	1.65	1.66e-01	Fisher-Exact		
systemic_lupus_erythematosus	11	90	760	13239	2.31	1.53e-02	Chi-squared		
###H3K4me3_Brain_Anterior_Caudate	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	750	13239	9.15	2.34e-04	Fisher-Exact		
ldl_cholesterol	14	103	750	13239	2.65	1.04e-03	Chi-squared		
crohns_disease	10	192	750	13239	0.91	1.00e+00	Fisher-Exact		
hdl_cholesterol	9	133	750	13239	1.21	5.69e-01	Fisher-Exact		
inflammatory_bowel_disease	13	118	750	13239	2.08	2.00e-02	Chi-squared		
platelet_counts	12	76	750	13239	3.16	3.43e-04	Chi-squared		
multiple_sclerosis	17	162	750	13239	1.97	1.23e-02	Chi-squared		
ulcerative_colitis	5	115	750	13239	0.76	6.86e-01	Fisher-Exact		
breast_cancer	13	142	750	13239	1.69	1.04e-01	Chi-squared		
metabolite_levels	11	98	750	13239	2.12	3.00e-02	Chi-squared		
c-reactive_protein	3	46	750	13239	1.16	7.44e-01	Fisher-Exact		
type_1_diabetes	5	77	750	13239	1.16	6.24e-01	Fisher-Exact		
celiac_disease	3	58	750	13239	0.91	1.00e+00	Fisher-Exact		
rheumatoid_arthritis	8	81	750	13239	1.83	1.39e-01	Fisher-Exact		
cholesterol__total	9	88	750	13239	1.91	9.75e-02	Fisher-Exact		
systemic_lupus_erythematosus	9	90	750	13239	1.86	1.01e-01	Fisher-Exact		
###H3K4me3_CD34_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	1	17	219	13239	3.73	2.47e-01	Fisher-Exact		
ldl_cholesterol	4	103	219	13239	2.43	9.14e-02	Fisher-Exact		
crohns_disease	8	192	219	13239	2.64	1.46e-02	Fisher-Exact		
hdl_cholesterol	4	133	219	13239	1.86	2.86e-01	Fisher-Exact		
inflammatory_bowel_disease	5	118	219	13239	2.67	4.62e-02	Fisher-Exact		
platelet_counts	3	76	219	13239	2.46	1.31e-01	Fisher-Exact		
multiple_sclerosis	4	162	219	13239	1.51	3.46e-01	Fisher-Exact		
ulcerative_colitis	3	115	219	13239	1.60	4.42e-01	Fisher-Exact		
breast_cancer	3	142	219	13239	1.29	5.11e-01	Fisher-Exact		
metabolite_levels	3	98	219	13239	1.89	2.21e-01	Fisher-Exact		
c-reactive_protein	2	46	219	13239	2.72	1.76e-01	Fisher-Exact		
type_1_diabetes	0	77	219	13239	0.00	6.41e-01	Fisher-Exact		
celiac_disease	1	58	219	13239	1.04	6.21e-01	Fisher-Exact		
rheumatoid_arthritis	3	81	219	13239	2.30	1.50e-01	Fisher-Exact		
cholesterol__total	3	88	219	13239	2.11	1.79e-01	Fisher-Exact		
systemic_lupus_erythematosus	4	90	219	13239	2.80	6.20e-02	Fisher-Exact		
###H3K4me3_Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	17	1127	13239	5.89	2.04e-03	Fisher-Exact		
ldl_cholesterol	12	103	1127	13239	1.42	3.33e-01	Chi-squared		
crohns_disease	20	192	1127	13239	1.25	4.11e-01	Chi-squared		
hdl_cholesterol	18	133	1127	13239	1.69	5.37e-02	Chi-squared		
inflammatory_bowel_disease	20	118	1127	13239	2.21	1.73e-03	Chi-squared		
platelet_counts	17	76	1127	13239	3.13	3.55e-05	Chi-squared		
multiple_sclerosis	21	162	1127	13239	1.61	5.74e-02	Chi-squared		
ulcerative_colitis	9	115	1127	13239	0.91	1.00e+00	Fisher-Exact		
breast_cancer	23	142	1127	13239	2.10	1.64e-03	Chi-squared		
metabolite_levels	6	98	1127	13239	0.70	4.71e-01	Fisher-Exact		
c-reactive_protein	5	46	1127	13239	1.31	5.91e-01	Fisher-Exact		
type_1_diabetes	3	77	1127	13239	0.43	2.14e-01	Fisher-Exact		
celiac_disease	7	58	1127	13239	1.48	3.40e-01	Fisher-Exact		
rheumatoid_arthritis	11	81	1127	13239	1.70	1.50e-01	Chi-squared		
cholesterol__total	11	88	1127	13239	1.54	2.49e-01	Chi-squared		
systemic_lupus_erythematosus	15	90	1127	13239	2.16	9.55e-03	Chi-squared		
